Image type	Feature Class	Feature Name	ROI_45_segment_Mass
original	gldm	LargeDependenceLowGrayLevelEmphasis	0.527091616436251
original	gldm	LowGrayLevelEmphasis	0.02718442715441406
original	gldm	SmallDependenceEmphasis	0.14819257458351912
original	gldm	SmallDependenceHighGrayLevelEmphasis	6.629683953323089
original	gldm	SmallDependenceLowGrayLevelEmphasis	0.008518718088411344
original	glrlm	GrayLevelNonUniformity	281.0128307171836
original	glrlm	GrayLevelNonUniformityNormalized	0.10834238969015432
original	glrlm	GrayLevelVariance	6.340398514626947
original	glrlm	HighGrayLevelRunEmphasis	65.37522447414848
original	glrlm	LongRunEmphasis	1.6693805122873597
original	glrlm	LongRunHighGrayLevelEmphasis	121.15899609928441
original	glrlm	LongRunLowGrayLevelEmphasis	0.040419078472776405
original	glrlm	LowGrayLevelRunEmphasis	0.02894829339717046
original	glrlm	RunEntropy	4.034975380458553
original	glrlm	RunLengthNonUniformity	1955.9685647320173
original	glrlm	RunLengthNonUniformityNormalized	0.751531523349042
original	glrlm	RunPercentage	0.8466308495681863
original	glrlm	RunVariance	0.2637127074593643
original	glrlm	ShortRunEmphasis	0.8891850521488955
original	glrlm	ShortRunHighGrayLevelEmphasis	56.4604399875318
original	glrlm	ShortRunLowGrayLevelEmphasis	0.0269388681860421
original	glszm	GrayLevelNonUniformity	59.16335540838852
original	glszm	GrayLevelNonUniformityNormalized	0.1306034335726016
original	glszm	GrayLevelVariance	5.234633958549577
original	glszm	HighGrayLevelZoneEmphasis	38.379690949227374
original	glszm	LargeAreaEmphasis	879.9735099337748
original	glszm	LargeAreaHighGrayLevelEmphasis	76169.96026490066
original	glszm	LargeAreaLowGrayLevelEmphasis	11.959334907373357
original	glszm	LowGrayLevelZoneEmphasis	0.06297901472219797
original	glszm	SizeZoneNonUniformity	141.60485651214128
original	glszm	SizeZoneNonUniformityNormalized	0.3125935022343075
original	glszm	SmallAreaEmphasis	0.5792420026032123
original	glszm	SmallAreaHighGrayLevelEmphasis	20.02834130870719
original	glszm	SmallAreaLowGrayLevelEmphasis	0.04555807763210019
original	glszm	ZoneEntropy	5.424517061999302
original	glszm	ZonePercentage	0.14784595300261097
original	glszm	ZoneVariance	834.2245613009177
original	ngtdm	Busyness	3.104118153521586
original	ngtdm	Coarseness	0.003269718928781377
original	ngtdm	Complexity	77.98972610835003
original	ngtdm	Contrast	0.07154729601094696
original	ngtdm	Strength	0.2021399258068432
wavelet-LLH	firstorder	10Percentile	-29.2776138842297
wavelet-LLH	firstorder	90Percentile	10.51061332332692
wavelet-LLH	firstorder	Energy	928713.5210711763
wavelet-LLH	firstorder	Entropy	1.433250814350597
wavelet-LLH	firstorder	InterquartileRange	20.7893244073674
wavelet-LLH	firstorder	Kurtosis	2.5197279167900244
wavelet-LLH	firstorder	Maximum	28.622343441101364
wavelet-LLH	firstorder	MeanAbsoluteDeviation	11.97250856722182
wavelet-LLH	firstorder	Mean	-9.255673222767772
wavelet-LLH	firstorder	Median	-9.411804219188227
wavelet-LLH	firstorder	Minimum	-53.11629473537873
wavelet-LLH	firstorder	Range	81.7386381764801
wavelet-LLH	firstorder	RobustMeanAbsoluteDeviation	8.606895883547544
wavelet-LLH	firstorder	RootMeanSquared	17.409909105892805
wavelet-LLH	firstorder	Skewness	-0.011461692728667214
wavelet-LLH	firstorder	TotalEnergy	928713.5210711763
wavelet-LLH	firstorder	Uniformity	0.42166952702656635
wavelet-LLH	firstorder	Variance	217.43744826878887
wavelet-LLH	glcm	Autocorrelation	9.554384908476413
wavelet-LLH	glcm	ClusterProminence	4.812932861687911
wavelet-LLH	glcm	ClusterShade	-0.025930228154861627
wavelet-LLH	glcm	ClusterTendency	1.3713084909320163
wavelet-LLH	glcm	Contrast	0.40046448739008655
wavelet-LLH	glcm	Correlation	0.5475132300669087
wavelet-LLH	glcm	DifferenceAverage	0.37958722985070537
wavelet-LLH	glcm	DifferenceEntropy	1.0011178217311587
wavelet-LLH	glcm	DifferenceVariance	0.2508904653346442
wavelet-LLH	glcm	Id	0.8136859279978774
wavelet-LLH	glcm	Idm	0.8122941108285855
wavelet-LLH	glcm	Idmn	0.9847636517386257
wavelet-LLH	glcm	Idn	0.9372325392520106
wavelet-LLH	glcm	Imc1	-0.19043947252908902
wavelet-LLH	glcm	Imc2	0.630882198108636
wavelet-LLH	glcm	InverseVariance	0.36131962950374674
wavelet-LLH	glcm	JointAverage	3.051460579170054
wavelet-LLH	glcm	JointEnergy	0.21724905873887443
wavelet-LLH	glcm	JointEntropy	2.626515031080708
wavelet-LLH	glcm	MCC	0.5502680621691
wavelet-LLH	glcm	MaximumProbability	0.39368827606844253
wavelet-LLH	glcm	SumAverage	6.102921158340108
wavelet-LLH	glcm	SumEntropy	2.188907051817255
wavelet-LLH	glcm	SumSquares	0.44294324458052575
wavelet-LLH	gldm	DependenceEntropy	5.750157865715227
wavelet-LLH	gldm	DependenceNonUniformity	159.61292428198433
wavelet-LLH	gldm	DependenceNonUniformityNormalized	0.05209299095365024
wavelet-LLH	gldm	DependenceVariance	29.016873709003402
wavelet-LLH	gldm	GrayLevelNonUniformity	1291.9954308093995
wavelet-LLH	gldm	GrayLevelVariance	0.4314603301883577
wavelet-LLH	gldm	HighGrayLevelEmphasis	10.156331592689295
wavelet-LLH	gldm	LargeDependenceEmphasis	189.58812010443864
wavelet-LLH	gldm	LargeDependenceHighGrayLevelEmphasis	1811.1550261096606
wavelet-LLH	gldm	LargeDependenceLowGrayLevelEmphasis	23.415287387583405
wavelet-LLH	gldm	LowGrayLevelEmphasis	0.12054213809109371
wavelet-LLH	gldm	SmallDependenceEmphasis	0.02646108133230074
wavelet-LLH	gldm	SmallDependenceHighGrayLevelEmphasis	0.33255208987050305
wavelet-LLH	gldm	SmallDependenceLowGrayLevelEmphasis	0.0034185006854890623
wavelet-LLH	glrlm	GrayLevelNonUniformity	672.6231855432624
wavelet-LLH	glrlm	GrayLevelNonUniformityNormalized	0.3983839634056026
wavelet-LLH	glrlm	GrayLevelVariance	0.4723381030623192
wavelet-LLH	glrlm	HighGrayLevelRunEmphasis	10.517652356592112
wavelet-LLH	glrlm	LongRunEmphasis	5.518423093936208
wavelet-LLH	glrlm	LongRunHighGrayLevelEmphasis	54.15731478374357
wavelet-LLH	glrlm	LongRunLowGrayLevelEmphasis	0.6707186699291096
wavelet-LLH	glrlm	LowGrayLevelRunEmphasis	0.11863950210399941
wavelet-LLH	glrlm	RunEntropy	3.241500325170203
wavelet-LLH	glrlm	RunLengthNonUniformity	695.8035287103571
wavelet-LLH	glrlm	RunLengthNonUniformityNormalized	0.40008736644760834
wavelet-LLH	glrlm	RunPercentage	0.5510895762201244
wavelet-LLH	glrlm	RunVariance	1.9554911529792514
wavelet-LLH	glrlm	ShortRunEmphasis	0.6378572684782413
wavelet-LLH	glrlm	ShortRunHighGrayLevelEmphasis	6.947378025807149
wavelet-LLH	glrlm	ShortRunLowGrayLevelEmphasis	0.07412286703350014
wavelet-LLH	glszm	GrayLevelNonUniformity	22.09090909090909
wavelet-LLH	glszm	GrayLevelNonUniformityNormalized	0.3347107438016529
wavelet-LLH	glszm	GrayLevelVariance	1.0964187327823691
wavelet-LLH	glszm	HighGrayLevelZoneEmphasis	13.030303030303031
wavelet-LLH	glszm	LargeAreaEmphasis	52266.969696969696
wavelet-LLH	glszm	LargeAreaHighGrayLevelEmphasis	498891.1060606061
wavelet-LLH	glszm	LargeAreaLowGrayLevelEmphasis	5883.06505050505
wavelet-LLH	glszm	LowGrayLevelZoneEmphasis	0.14418350168350166
wavelet-LLH	glszm	SizeZoneNonUniformity	18.181818181818183
wavelet-LLH	glszm	SizeZoneNonUniformityNormalized	0.27548209366391185
wavelet-LLH	glszm	SmallAreaEmphasis	0.5392467619068032
wavelet-LLH	glszm	SmallAreaHighGrayLevelEmphasis	7.211261148046299
wavelet-LLH	glszm	SmallAreaLowGrayLevelEmphasis	0.0840137910419711
wavelet-LLH	glszm	ZoneEntropy	4.055910062261339
wavelet-LLH	glszm	ZonePercentage	0.02154046997389034
wavelet-LLH	glszm	ZoneVariance	50111.75941230486
wavelet-LLH	ngtdm	Busyness	18.402572715163505
wavelet-LLH	ngtdm	Coarseness	0.003036076934173773
wavelet-LLH	ngtdm	Complexity	3.2731326437392063
wavelet-LLH	ngtdm	Contrast	0.01333632133273938
wavelet-LLH	ngtdm	Strength	0.025821592976237703
wavelet-LHL	firstorder	10Percentile	-55.4734655084758
wavelet-LHL	firstorder	90Percentile	30.94861785561242
wavelet-LHL	firstorder	Energy	4228189.933885763
wavelet-LHL	firstorder	Entropy	2.548023753256181
wavelet-LHL	firstorder	InterquartileRange	41.45390256106854
wavelet-LHL	firstorder	Kurtosis	4.511180793591113
wavelet-LHL	firstorder	Maximum	129.48524841157646
wavelet-LHL	firstorder	MeanAbsoluteDeviation	27.0934183065117
wavelet-LHL	firstorder	Mean	-9.459764931900784
wavelet-LHL	firstorder	Median	-6.160733660623331
wavelet-LHL	firstorder	Minimum	-162.54823347281845
wavelet-LHL	firstorder	Range	292.0334818843949
wavelet-LHL	firstorder	RobustMeanAbsoluteDeviation	17.626490402329406
wavelet-LHL	firstorder	RootMeanSquared	37.1477798828384
wavelet-LHL	firstorder	Skewness	-0.4304607316924735
